ts,value,round,scenario,metric
1776974040.122,1,round_b_mw2_4,2. Step Function,replicas
1776974055.122,1,round_b_mw2_4,2. Step Function,replicas
1776974070.122,1,round_b_mw2_4,2. Step Function,replicas
1776974085.122,1,round_b_mw2_4,2. Step Function,replicas
1776974100.122,1,round_b_mw2_4,2. Step Function,replicas
1776974115.122,1,round_b_mw2_4,2. Step Function,replicas
1776974130.122,1,round_b_mw2_4,2. Step Function,replicas
1776974145.122,1,round_b_mw2_4,2. Step Function,replicas
1776974160.122,1,round_b_mw2_4,2. Step Function,replicas
1776974175.122,1,round_b_mw2_4,2. Step Function,replicas
1776974190.122,1,round_b_mw2_4,2. Step Function,replicas
1776974205.122,1,round_b_mw2_4,2. Step Function,replicas
1776974220.122,1,round_b_mw2_4,2. Step Function,replicas
1776974235.122,1,round_b_mw2_4,2. Step Function,replicas
1776974250.122,2,round_b_mw2_4,2. Step Function,replicas
1776974265.122,2,round_b_mw2_4,2. Step Function,replicas
1776974280.122,3,round_b_mw2_4,2. Step Function,replicas
1776974295.122,3,round_b_mw2_4,2. Step Function,replicas
1776974310.122,4,round_b_mw2_4,2. Step Function,replicas
1776974325.122,4,round_b_mw2_4,2. Step Function,replicas
1776974340.122,4,round_b_mw2_4,2. Step Function,replicas
1776974355.122,4,round_b_mw2_4,2. Step Function,replicas
1776974370.122,4,round_b_mw2_4,2. Step Function,replicas
1776974385.122,4,round_b_mw2_4,2. Step Function,replicas
1776974400.122,4,round_b_mw2_4,2. Step Function,replicas
1776974415.122,4,round_b_mw2_4,2. Step Function,replicas
1776974430.122,5,round_b_mw2_4,2. Step Function,replicas
1776974445.122,5,round_b_mw2_4,2. Step Function,replicas
1776974460.122,8,round_b_mw2_4,2. Step Function,replicas
1776974475.122,8,round_b_mw2_4,2. Step Function,replicas
1776974490.122,13,round_b_mw2_4,2. Step Function,replicas
1776974505.122,13,round_b_mw2_4,2. Step Function,replicas
1776974520.122,15,round_b_mw2_4,2. Step Function,replicas
1776974535.122,15,round_b_mw2_4,2. Step Function,replicas
1776974550.122,12,round_b_mw2_4,2. Step Function,replicas
1776974565.122,12,round_b_mw2_4,2. Step Function,replicas
1776974580.122,9,round_b_mw2_4,2. Step Function,replicas
1776974595.122,9,round_b_mw2_4,2. Step Function,replicas
1776974610.122,7,round_b_mw2_4,2. Step Function,replicas
1776974625.122,7,round_b_mw2_4,2. Step Function,replicas
1776974640.122,4,round_b_mw2_4,2. Step Function,replicas
1776974655.122,4,round_b_mw2_4,2. Step Function,replicas
1776974670.122,3,round_b_mw2_4,2. Step Function,replicas
1776974685.122,3,round_b_mw2_4,2. Step Function,replicas
1776974700.122,2,round_b_mw2_4,2. Step Function,replicas
