ts,value,round,scenario,metric
1776963090.08,1,round_b_mw2_3,2. Step Function,replicas
1776963105.08,1,round_b_mw2_3,2. Step Function,replicas
1776963120.08,1,round_b_mw2_3,2. Step Function,replicas
1776963135.08,1,round_b_mw2_3,2. Step Function,replicas
1776963150.08,1,round_b_mw2_3,2. Step Function,replicas
1776963165.08,1,round_b_mw2_3,2. Step Function,replicas
1776963180.08,1,round_b_mw2_3,2. Step Function,replicas
1776963195.08,1,round_b_mw2_3,2. Step Function,replicas
1776963210.08,1,round_b_mw2_3,2. Step Function,replicas
1776963225.08,1,round_b_mw2_3,2. Step Function,replicas
1776963240.08,1,round_b_mw2_3,2. Step Function,replicas
1776963255.08,1,round_b_mw2_3,2. Step Function,replicas
1776963270.08,1,round_b_mw2_3,2. Step Function,replicas
1776963285.08,1,round_b_mw2_3,2. Step Function,replicas
1776963300.08,2,round_b_mw2_3,2. Step Function,replicas
1776963315.08,2,round_b_mw2_3,2. Step Function,replicas
1776963330.08,4,round_b_mw2_3,2. Step Function,replicas
1776963345.08,4,round_b_mw2_3,2. Step Function,replicas
1776963360.08,6,round_b_mw2_3,2. Step Function,replicas
1776963375.08,6,round_b_mw2_3,2. Step Function,replicas
1776963390.08,6,round_b_mw2_3,2. Step Function,replicas
1776963405.08,6,round_b_mw2_3,2. Step Function,replicas
1776963420.08,4,round_b_mw2_3,2. Step Function,replicas
1776963435.08,4,round_b_mw2_3,2. Step Function,replicas
1776963450.08,4,round_b_mw2_3,2. Step Function,replicas
1776963465.08,4,round_b_mw2_3,2. Step Function,replicas
1776963480.08,4,round_b_mw2_3,2. Step Function,replicas
1776963495.08,4,round_b_mw2_3,2. Step Function,replicas
1776963510.08,6,round_b_mw2_3,2. Step Function,replicas
1776963525.08,6,round_b_mw2_3,2. Step Function,replicas
1776963540.08,10,round_b_mw2_3,2. Step Function,replicas
1776963555.08,10,round_b_mw2_3,2. Step Function,replicas
1776963570.08,15,round_b_mw2_3,2. Step Function,replicas
1776963585.08,15,round_b_mw2_3,2. Step Function,replicas
1776963600.08,15,round_b_mw2_3,2. Step Function,replicas
1776963615.08,15,round_b_mw2_3,2. Step Function,replicas
1776963630.08,11,round_b_mw2_3,2. Step Function,replicas
1776963645.08,11,round_b_mw2_3,2. Step Function,replicas
1776963660.08,7,round_b_mw2_3,2. Step Function,replicas
1776963675.08,7,round_b_mw2_3,2. Step Function,replicas
1776963690.08,4,round_b_mw2_3,2. Step Function,replicas
1776963705.08,4,round_b_mw2_3,2. Step Function,replicas
1776963720.08,2,round_b_mw2_3,2. Step Function,replicas
1776963735.08,2,round_b_mw2_3,2. Step Function,replicas
1776963750.08,2,round_b_mw2_3,2. Step Function,replicas
