ts,value,round,scenario,metric
1776982691.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982706.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982721.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982736.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982751.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982766.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982781.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982796.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982811.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982826.922,1,round_b_mw2_2,5. Random Walk,replicas
1776982841.922,2,round_b_mw2_2,5. Random Walk,replicas
1776982856.922,2,round_b_mw2_2,5. Random Walk,replicas
1776982871.922,2,round_b_mw2_2,5. Random Walk,replicas
1776982886.922,2,round_b_mw2_2,5. Random Walk,replicas
1776982901.922,3,round_b_mw2_2,5. Random Walk,replicas
1776982916.922,3,round_b_mw2_2,5. Random Walk,replicas
1776982931.922,3,round_b_mw2_2,5. Random Walk,replicas
1776982946.922,3,round_b_mw2_2,5. Random Walk,replicas
1776982961.922,4,round_b_mw2_2,5. Random Walk,replicas
1776982976.922,4,round_b_mw2_2,5. Random Walk,replicas
1776982991.922,4,round_b_mw2_2,5. Random Walk,replicas
1776983006.922,4,round_b_mw2_2,5. Random Walk,replicas
1776983021.922,6,round_b_mw2_2,5. Random Walk,replicas
1776983036.922,6,round_b_mw2_2,5. Random Walk,replicas
1776983051.922,6,round_b_mw2_2,5. Random Walk,replicas
1776983066.922,6,round_b_mw2_2,5. Random Walk,replicas
1776983081.922,9,round_b_mw2_2,5. Random Walk,replicas
1776983096.922,9,round_b_mw2_2,5. Random Walk,replicas
1776983111.922,9,round_b_mw2_2,5. Random Walk,replicas
1776983126.922,9,round_b_mw2_2,5. Random Walk,replicas
1776983141.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983156.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983171.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983186.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983201.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983216.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983231.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983246.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983261.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983276.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983291.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983306.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983321.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983336.922,12,round_b_mw2_2,5. Random Walk,replicas
1776983351.922,14,round_b_mw2_2,5. Random Walk,replicas
