ts,value,round,scenario,metric
1776973140.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973155.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973170.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973185.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973200.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973215.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973230.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973245.122,1,round_b_mw2_4,1. Linear Ramp,replicas
1776973260.122,2,round_b_mw2_4,1. Linear Ramp,replicas
1776973275.122,2,round_b_mw2_4,1. Linear Ramp,replicas
1776973290.122,3,round_b_mw2_4,1. Linear Ramp,replicas
1776973305.122,3,round_b_mw2_4,1. Linear Ramp,replicas
1776973320.122,5,round_b_mw2_4,1. Linear Ramp,replicas
1776973335.122,5,round_b_mw2_4,1. Linear Ramp,replicas
1776973350.122,8,round_b_mw2_4,1. Linear Ramp,replicas
1776973365.122,8,round_b_mw2_4,1. Linear Ramp,replicas
1776973380.122,11,round_b_mw2_4,1. Linear Ramp,replicas
1776973395.122,11,round_b_mw2_4,1. Linear Ramp,replicas
1776973410.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973425.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973440.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973455.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973470.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973485.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973500.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973515.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973530.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973545.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973560.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973575.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973590.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973605.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973620.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973635.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973650.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973665.122,14,round_b_mw2_4,1. Linear Ramp,replicas
1776973680.122,13,round_b_mw2_4,1. Linear Ramp,replicas
1776973695.122,13,round_b_mw2_4,1. Linear Ramp,replicas
1776973710.122,12,round_b_mw2_4,1. Linear Ramp,replicas
1776973725.122,12,round_b_mw2_4,1. Linear Ramp,replicas
1776973740.122,10,round_b_mw2_4,1. Linear Ramp,replicas
1776973755.122,10,round_b_mw2_4,1. Linear Ramp,replicas
1776973770.122,8,round_b_mw2_4,1. Linear Ramp,replicas
1776973785.122,8,round_b_mw2_4,1. Linear Ramp,replicas
1776973800.122,6,round_b_mw2_4,1. Linear Ramp,replicas
