ts,value,round,scenario,metric
1776965010.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965025.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965040.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965055.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965070.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965085.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965100.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965115.08,1,round_b_mw2_3,4. Multi Spike,replicas
1776965130.08,2,round_b_mw2_3,4. Multi Spike,replicas
1776965145.08,2,round_b_mw2_3,4. Multi Spike,replicas
1776965160.08,4,round_b_mw2_3,4. Multi Spike,replicas
1776965175.08,4,round_b_mw2_3,4. Multi Spike,replicas
1776965190.08,6,round_b_mw2_3,4. Multi Spike,replicas
1776965205.08,6,round_b_mw2_3,4. Multi Spike,replicas
1776965220.08,6,round_b_mw2_3,4. Multi Spike,replicas
1776965235.08,6,round_b_mw2_3,4. Multi Spike,replicas
1776965250.08,6,round_b_mw2_3,4. Multi Spike,replicas
1776965265.08,6,round_b_mw2_3,4. Multi Spike,replicas
1776965280.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965295.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965310.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965325.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965340.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965355.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965370.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965385.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965400.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965415.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965430.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965445.08,7,round_b_mw2_3,4. Multi Spike,replicas
1776965460.08,9,round_b_mw2_3,4. Multi Spike,replicas
1776965475.08,9,round_b_mw2_3,4. Multi Spike,replicas
1776965490.08,9,round_b_mw2_3,4. Multi Spike,replicas
1776965505.08,9,round_b_mw2_3,4. Multi Spike,replicas
1776965520.08,9,round_b_mw2_3,4. Multi Spike,replicas
1776965535.08,9,round_b_mw2_3,4. Multi Spike,replicas
1776965550.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965565.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965580.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965595.08,8,round_b_mw2_3,4. Multi Spike,replicas
1776965610.08,10,round_b_mw2_3,4. Multi Spike,replicas
1776965625.08,10,round_b_mw2_3,4. Multi Spike,replicas
1776965640.08,13,round_b_mw2_3,4. Multi Spike,replicas
1776965655.08,13,round_b_mw2_3,4. Multi Spike,replicas
1776965670.08,13,round_b_mw2_3,4. Multi Spike,replicas
