"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
9886,"2026-03-07 07:35:51.776418+00","2026-03-07 07:36:51.776418+00","cpu","0.00014603479998227063","0.04880158230662346","0.00011363013967033099",60,"v20260306-_tuned_20260306-181039-0246"
9887,"2026-03-07 07:35:51.78627+00","2026-03-07 07:36:51.78627+00","ram","30.234375","48.298431396484375","30.234375",60,"v20260306-_tuned_20260306-181039-0246"
9888,"2026-03-07 07:35:51.795858+00","2026-03-07 07:36:51.795858+00","rps","0.1","515.2938232421875","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9892,"2026-03-07 07:36:21.75462+00","2026-03-07 07:37:21.75462+00","cpu","0.00017047451670708686","0.048779841512441635","0.00013609421153782305",60,"v20260306-_tuned_20260306-181039-0246"
9893,"2026-03-07 07:36:21.768724+00","2026-03-07 07:37:21.768724+00","ram","30.234375","48.29790496826172","30.234375",60,"v20260306-_tuned_20260306-181039-0246"
9894,"2026-03-07 07:36:21.781406+00","2026-03-07 07:37:21.781406+00","rps","0.1","515.2073364257812","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9898,"2026-03-07 07:36:51.74442+00","2026-03-07 07:37:51.74442+00","cpu","0.00011363013967033099","0.04878513142466545","0.0001566018635106704",60,"v20260306-_tuned_20260306-181039-0246"
9899,"2026-03-07 07:36:51.756834+00","2026-03-07 07:37:51.756834+00","ram","30.234375","48.297462463378906","30.234375",60,"v20260306-_tuned_20260306-181039-0246"
9900,"2026-03-07 07:36:51.771441+00","2026-03-07 07:37:51.771441+00","rps","0.1","515.2682495117188","0.1000020000400008",60,"v20260306-_tuned_20260306-181039-0246"
9904,"2026-03-07 07:37:21.772052+00","2026-03-07 07:38:21.772052+00","cpu","0.00013609421153782305","0.048786815255880356","0.0001411786037286176",60,"v20260306-_tuned_20260306-181039-0246"
9905,"2026-03-07 07:37:21.78381+00","2026-03-07 07:38:21.78381+00","ram","30.234375","48.297637939453125","30.234375",60,"v20260306-_tuned_20260306-181039-0246"
9906,"2026-03-07 07:37:21.803112+00","2026-03-07 07:38:21.803112+00","rps","0.1","515.2705688476562","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9910,"2026-03-07 07:37:51.758685+00","2026-03-07 07:38:51.758685+00","cpu","0.0001566018635106704","0.048785578459501266","9.961493155420519e-05",60,"v20260306-_tuned_20260306-181039-0246"
9911,"2026-03-07 07:37:51.773218+00","2026-03-07 07:38:51.773218+00","ram","30.234375","48.29753875732422","30.23828125",60,"v20260306-_tuned_20260306-181039-0246"
9912,"2026-03-07 07:37:51.787523+00","2026-03-07 07:38:51.787523+00","rps","0.1000020000400008","515.26025390625","0.0999980000399992",60,"v20260306-_tuned_20260306-181039-0246"
9916,"2026-03-07 07:38:21.757244+00","2026-03-07 07:39:21.757244+00","cpu","0.0001411786037286176","0.048783447593450546","9.02732829530299e-05",60,"v20260306-_tuned_20260306-181039-0246"
9917,"2026-03-07 07:38:21.769115+00","2026-03-07 07:39:21.769115+00","ram","30.234375","48.29732131958008","30.23828125",60,"v20260306-_tuned_20260306-181039-0246"
9918,"2026-03-07 07:38:21.780834+00","2026-03-07 07:39:21.780834+00","rps","0.1","515.2540283203125","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9922,"2026-03-07 07:38:51.750158+00","2026-03-07 07:39:51.750158+00","cpu","9.961493155420519e-05","0.048791881650686264","0.00017564936501788844",60,"v20260306-_tuned_20260306-181039-0246"
9923,"2026-03-07 07:38:51.76324+00","2026-03-07 07:39:51.76324+00","ram","30.23828125","48.29787063598633","30.23828125",60,"v20260306-_tuned_20260306-181039-0246"
9924,"2026-03-07 07:38:51.775655+00","2026-03-07 07:39:51.775655+00","rps","0.0999980000399992","515.2894897460938","0.0999980000399992",60,"v20260306-_tuned_20260306-181039-0246"
10183,"2026-03-07 08:00:36.749602+00","2026-03-07 08:01:36.749602+00","cpu","8.594999999331777e-05","0.04856171831488609","0.0001624872578838827",60,"v20260306-_tuned_20260306-181039-0246"
9928,"2026-03-07 07:39:21.75831+00","2026-03-07 07:40:21.75831+00","cpu","9.02732829530299e-05","0.04879480227828026","0.0001293301059646758",60,"v20260306-_tuned_20260306-181039-0246"
9929,"2026-03-07 07:39:21.772392+00","2026-03-07 07:40:21.772392+00","ram","30.23828125","48.298126220703125","30.23828125",60,"v20260306-_tuned_20260306-181039-0246"
9930,"2026-03-07 07:39:21.785987+00","2026-03-07 07:40:21.785987+00","rps","0.1","515.2982788085938","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9935,"2026-03-07 07:39:51.763294+00","2026-03-07 07:40:51.763294+00","ram","30.23828125","48.29806900024414","30.23828125",60,"v20260306-_tuned_20260306-181039-0246"
9936,"2026-03-07 07:39:51.783224+00","2026-03-07 07:40:51.783224+00","rps","0.0999980000399992","515.271484375","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9940,"2026-03-07 07:40:21.751728+00","2026-03-07 07:41:21.751728+00","cpu","0.0001293301059646758","0.0487908236682415","0.00013365579005238137",60,"v20260306-_tuned_20260306-181039-0246"
9941,"2026-03-07 07:40:21.765946+00","2026-03-07 07:41:21.765946+00","ram","30.23828125","48.297908782958984","30.23828125",60,"v20260306-_tuned_20260306-181039-0246"
