"id","ts","target_ts","input_cpu","input_ram","input_rps","predicted_cpu","actual_cpu","horizon_seconds","model_version"
1501,"2026-03-27 12:30:55.378467+00","2026-03-27 12:31:55.378467+00",0.05438148996509932,49.82421875,1.24,0.0578435336982779,0.05473052343272814,60,"v20260326-204532-4583"
1502,"2026-03-27 12:31:00.335944+00","2026-03-27 12:32:00.335944+00",0.05438148996509932,49.82421875,1.2000480019200768,0.05521953174399378,0.05473052343272814,60,"v20260326-204532-4583"
1503,"2026-03-27 12:31:05.317834+00","2026-03-27 12:32:05.317834+00",0.03513831333693984,49.32421875,1.24,0.049668108913062836,0.05473052343272814,60,"v20260326-204532-4583"
1504,"2026-03-27 12:31:10.337043+00","2026-03-27 12:32:10.337043+00",0.053548176374489234,49.32421875,1.2400496019840794,0.05207760413700714,1.3585224036577568,60,"v20260326-204532-4583"
1505,"2026-03-27 12:31:15.364414+00","2026-03-27 12:32:15.364414+00",0.03990053115584442,49.32421875,1.28,0.04891694098865213,1.3585224036577568,60,"v20260326-204532-4583"
1506,"2026-03-27 12:31:20.341883+00","2026-03-27 12:32:20.341883+00",0.030966910397367122,49.32421875,1.2000480019200768,0.04186395886684335,1.3585224036577568,60,"v20260326-204532-4583"
1507,"2026-03-27 12:31:25.348792+00","2026-03-27 12:32:25.348792+00",0.05305385064556703,49.56640625,1.2,0.052234639788748476,1.4978254250919143,60,"v20260326-204532-4583"
1508,"2026-03-27 12:31:30.32334+00","2026-03-27 12:32:30.32334+00",0.05305385064556703,49.56640625,1.2000000000000002,0.053350191972500974,1.4978254250919143,60,"v20260326-204532-4583"
1509,"2026-03-27 12:31:35.346451+00","2026-03-27 12:32:35.346451+00",0.05976958324243489,50.3203125,1.2799488020479182,0.06115175086486605,1.041514864329203,60,"v20260326-204532-4583"
1510,"2026-03-27 12:31:40.339053+00","2026-03-27 12:32:40.339053+00",0.05976958324243489,50.3203125,1.24,0.058037114154573154,0.19804543754227555,60,"v20260326-204532-4583"
1511,"2026-03-27 12:31:45.331131+00","2026-03-27 12:32:45.331131+00",0.05976958324243489,50.3203125,1.28,0.06200894901396869,0.273511940442779,60,"v20260326-204532-4583"
1512,"2026-03-27 12:31:55.375854+00","2026-03-27 12:32:55.375854+00",0.05473052343272814,49.578125,1.3199472021119156,0.06381892902237496,0.04866618367488753,60,"v20260326-204532-4583"
1513,"2026-03-27 12:32:00.331657+00","2026-03-27 12:33:00.331657+00",0.05473052343272814,49.578125,4.720188807552302,0.15081793439956825,0.04866618367488753,60,"v20260326-204532-4583"
1514,"2026-03-27 12:32:15.426519+00","2026-03-27 12:33:15.426519+00",1.3585224036577568,51.15625,20.2,2.6843781772808515,0.056892009817286246,60,"v20260326-204532-4583"
