id,ts,target_ts,input_cpu,input_ram,input_rps,predicted_cpu,actual_cpu,horizon_seconds,model_version
611,2026-03-26 21:53:10.069120+00:00,2026-03-26 21:54:10.069120+00:00,0.0023875533587956,48.49609375,0.32,0.0035646101220807,0.0018102277366959,60,v20260326-204532-4583
612,2026-03-26 21:53:25.168344+00:00,2026-03-26 21:54:25.168344+00:00,0.0025043664655486,48.49609375,0.28,0.003438331918254,0.0024899191114328,60,v20260326-204532-4583
613,2026-03-26 21:53:30.060313+00:00,2026-03-26 21:54:30.060313+00:00,0.0016180711733909,48.49609375,0.32,0.0038304495270738,0.0023417721518921,60,v20260326-204532-4583
614,2026-03-26 21:53:35.061684+00:00,2026-03-26 21:54:35.061684+00:00,0.0024443648733285,48.49609375,0.28,0.0039565696464184,0.0023417721518921,60,v20260326-204532-4583
615,2026-03-26 21:53:40.059029+00:00,2026-03-26 21:54:40.059029+00:00,0.0016173140184378,48.49609375,0.32,0.0040972652551483,0.0014687594936667,60,v20260326-204532-4583
616,2026-03-26 21:53:45.059920+00:00,2026-03-26 21:54:45.059920+00:00,0.0024098031841558,48.49609375,0.28,0.0033386365549765,0.0485164769322933,60,v20260326-204532-4583
617,2026-03-26 21:53:50.058861+00:00,2026-03-26 21:54:50.058861+00:00,0.0024098031841558,48.49609375,0.32,0.0037882304915354,0.0485164769322933,60,v20260326-204532-4583
618,2026-03-26 21:54:05.132909+00:00,2026-03-26 21:55:05.132909+00:00,0.0025978536726962,48.49609375,0.28,0.0033390851639174,0.0519569661786949,60,v20260326-204532-4583
619,2026-03-26 21:54:10.069079+00:00,2026-03-26 21:55:10.069079+00:00,0.0018102277366959,48.49609375,0.32,0.0025392063509679,0.0466438901795801,60,v20260326-204532-4583
620,2026-03-26 21:54:15.102948+00:00,2026-03-26 21:55:15.102948+00:00,0.0024899191114328,48.49609375,0.28,0.0024191439568842,0.0466438901795801,60,v20260326-204532-4583
621,2026-03-26 21:54:20.054367+00:00,2026-03-26 21:55:20.054367+00:00,0.0024899191114328,48.49609375,0.32,0.0028730079066444,0.0361300285898249,60,v20260326-204532-4583
