"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
239,"2026-02-28 12:47:18.63603+00","2026-02-28 12:48:18.635584+00","ram","63.421875","0.43673789501190186","43.2890625",60,"v0.0.0_placeholder"
237,"2026-02-28 12:47:03.586994+00","2026-02-28 12:48:03.586592+00","rps","0","0.5863620042800903","0.1",60,"v0.0.0_placeholder"
240,"2026-02-28 12:47:18.660744+00","2026-02-28 12:48:18.660271+00","rps","0","0.5828237533569336","0.1",60,"v0.0.0_placeholder"
241,"2026-02-28 12:47:33.554674+00","2026-02-28 12:48:33.554212+00","cpu","0.46161547880142595","0.6553484201431274","0.00013418314188288165",60,"v0.0.0_placeholder"
242,"2026-02-28 12:47:33.578604+00","2026-02-28 12:48:33.578136+00","ram","41.3046875","0.44479697942733765","43.2890625",60,"v0.0.0_placeholder"
243,"2026-02-28 12:47:33.606786+00","2026-02-28 12:48:33.606319+00","rps","0","0.6132118701934814","0.1",60,"v0.0.0_placeholder"
244,"2026-02-28 12:47:48.530579+00","2026-02-28 12:48:48.5301+00","cpu","0.4367298591014905","0.6550938487052917","0.00015450194436135211",60,"v0.0.0_placeholder"
245,"2026-02-28 12:47:48.550102+00","2026-02-28 12:48:48.549779+00","ram","41.3046875","0.4435860812664032","44.01171875",60,"v0.0.0_placeholder"
246,"2026-02-28 12:47:48.572145+00","2026-02-28 12:48:48.571683+00","rps","0.03818833333333334","0.6131359338760376","0.1",60,"v0.0.0_placeholder"
247,"2026-02-28 12:48:03.562684+00","2026-02-28 12:49:03.562197+00","cpu","0.41193919862590245","0.6544848680496216","0.00016262426362297503",60,"v0.0.0_placeholder"
248,"2026-02-28 12:48:03.593763+00","2026-02-28 12:49:03.593284+00","ram","42.93359375","0.4429085850715637","44.44921875",60,"v0.0.0_placeholder"
249,"2026-02-28 12:48:03.625965+00","2026-02-28 12:49:03.625428+00","rps","0.06322666666666667","0.6110328435897827","0.1",60,"v0.0.0_placeholder"
250,"2026-02-28 12:50:36.568925+00","2026-02-28 12:51:36.567174+00","cpu","8.775485593530706e-05","0.6484042406082153","0.0001278545249506627",60,"v0.0.0_placeholder"
251,"2026-02-28 12:50:36.593792+00","2026-02-28 12:51:36.593331+00","ram","45.23046875","0.5303945541381836","45.6484375",60,"v0.0.0_placeholder"
252,"2026-02-28 12:50:36.615388+00","2026-02-28 12:51:36.614933+00","rps","0.1","0.4706263840198517","0.1",60,"v0.0.0_placeholder"
253,"2026-02-28 12:50:51.511785+00","2026-02-28 12:51:51.511259+00","cpu","0.0001284705332996089","0.6484186053276062","0.00010103622142911388",60,"v0.0.0_placeholder"
254,"2026-02-28 12:50:51.54012+00","2026-02-28 12:51:51.539743+00","ram","45.3671875","0.5304929614067078","45.6484375",60,"v0.0.0_placeholder"
255,"2026-02-28 12:50:51.559839+00","2026-02-28 12:51:51.559345+00","rps","0.1","0.47077542543411255","0.1",60,"v0.0.0_placeholder"
256,"2026-02-28 12:51:06.47126+00","2026-02-28 12:52:06.470764+00","cpu","0.00014770726209762603","0.6484421491622925","0.00011234201903573076",60,"v0.0.0_placeholder"
257,"2026-02-28 12:51:06.497935+00","2026-02-28 12:52:06.49743+00","ram","45.578125","0.5306400656700134","45.84765625",60,"v0.0.0_placeholder"
258,"2026-02-28 12:51:06.52151+00","2026-02-28 12:52:06.521043+00","rps","0.1","0.4710029363632202","0.1",60,"v0.0.0_placeholder"
259,"2026-02-28 12:51:21.472017+00","2026-02-28 12:52:21.471534+00","cpu","0.00012158287415893793","0.6484479308128357","0.000149994115570201",60,"v0.0.0_placeholder"
260,"2026-02-28 12:51:21.495347+00","2026-02-28 12:52:21.495011+00","ram","45.609375","0.5306553244590759","45.875",60,"v0.0.0_placeholder"
261,"2026-02-28 12:51:21.522707+00","2026-02-28 12:52:21.522254+00","rps","0.1","0.47103777527809143","5.1000000000000005",60,"v0.0.0_placeholder"
262,"2026-02-28 12:51:36.490324+00","2026-02-28 12:52:36.48984+00","cpu","0.00012663522887379085","0.648449718952179","0.012666643089089508",60,"v0.0.0_placeholder"
263,"2026-02-28 12:51:36.524374+00","2026-02-28 12:52:36.521497+00","ram","45.62109375","0.5306627750396729","55.3046875",60,"v0.0.0_placeholder"
264,"2026-02-28 12:51:36.555527+00","2026-02-28 12:52:36.554813+00","rps","0.1","0.4710509777069092","117.12339933333334",60,"v0.0.0_placeholder"
265,"2026-02-28 12:51:51.480236+00","2026-02-28 12:52:51.479777+00","cpu","0.0001278545249506627","0.648452877998352","0.01365405",60,"v0.0.0_placeholder"
266,"2026-02-28 12:51:51.502689+00","2026-02-28 12:52:51.502233+00","ram","45.6484375","0.5306820869445801","55.3046875",60,"v0.0.0_placeholder"
267,"2026-02-28 12:51:51.530001+00","2026-02-28 12:52:51.529519+00","rps","0.1","0.4710804522037506","281.0890048888889",60,"v0.0.0_placeholder"
268,"2026-02-28 12:52:06.49583+00","2026-02-28 12:53:06.495446+00","cpu","0.00010103622142911388","0.6484533548355103","0.06597404675096459",60,"v0.0.0_placeholder"
269,"2026-02-28 12:52:06.519431+00","2026-02-28 12:53:06.518906+00","ram","45.6484375","0.5306808352470398","57.07421875",60,"v0.0.0_placeholder"
270,"2026-02-28 12:52:06.541789+00","2026-02-28 12:53:06.541309+00","rps","0.1","0.4710809588432312","522.6774939999999",60,"v0.0.0_placeholder"
271,"2026-02-28 12:52:21.507818+00","2026-02-28 12:53:21.507296+00","cpu","0.00011234201903573076","0.648473858833313","0.07959061399094111",60,"v0.0.0_placeholder"
272,"2026-02-28 12:52:21.533186+00","2026-02-28 12:53:21.532718+00","ram","45.84765625","0.5308247208595276","57.07421875",60,"v0.0.0_placeholder"
273,"2026-02-28 12:52:21.557431+00","2026-02-28 12:53:21.557072+00","rps","0.1","0.4712909758090973","707.1400000000001",60,"v0.0.0_placeholder"
274,"2026-02-28 12:52:36.454214+00","2026-02-28 12:53:36.453769+00","cpu","0.000149994115570201","0.6590160727500916","0.09536749936345375",60,"v0.0.0_placeholder"
275,"2026-02-28 12:52:36.48085+00","2026-02-28 12:53:36.480388+00","ram","45.875","0.5711792707443237","57.40234375",60,"v0.0.0_placeholder"
276,"2026-02-28 12:52:36.501764+00","2026-02-28 12:53:36.50136+00","rps","5.1000000000000005","0.4828101098537445","797.24",60,"v0.0.0_placeholder"
277,"2026-02-28 12:52:51.504202+00","2026-02-28 12:53:51.50381+00","cpu","0.012666643089089508","0.24771258234977722","0.08861867539577277",60,"v0.0.0_placeholder"
278,"2026-02-28 12:52:51.530057+00","2026-02-28 12:53:51.529538+00","ram","55.3046875","0.9650006294250488","58.40625",60,"v0.0.0_placeholder"
279,"2026-02-28 12:52:51.550867+00","2026-02-28 12:53:51.550378+00","rps","117.12339933333334","0.15554049611091614","795.6",60,"v0.0.0_placeholder"
280,"2026-02-28 12:53:06.463911+00","2026-02-28 12:54:06.463512+00","cpu","0.01365405","0.2985648512840271","0.08718321469695384",60,"v0.0.0_placeholder"
281,"2026-02-28 12:53:06.486626+00","2026-02-28 12:54:06.486161+00","ram","55.3046875","0.6683382987976074","57.76171875",60,"v0.0.0_placeholder"
282,"2026-02-28 12:53:06.515269+00","2026-02-28 12:54:06.51471+00","rps","281.0890048888889","0.12173160910606384","793.06",60,"v0.0.0_placeholder"
283,"2026-02-28 12:53:21.478267+00","2026-02-28 12:54:21.477909+00","cpu","0.06597404675096459","0.07369017601013184","0.06840974673746027",60,"v0.0.0_placeholder"
284,"2026-02-28 12:53:21.499538+00","2026-02-28 12:54:21.499174+00","ram","57.07421875","0.5492081642150879","57.76171875",60,"v0.0.0_placeholder"
285,"2026-02-28 12:53:21.520756+00","2026-02-28 12:54:21.520367+00","rps","522.6774939999999","0.2531958818435669","790.2600000000001",60,"v0.0.0_placeholder"
286,"2026-02-28 12:53:36.477927+00","2026-02-28 12:54:36.47742+00","cpu","0.07959061399094111","0.06911808252334595","0.08999536103704667",60,"v0.0.0_placeholder"
287,"2026-02-28 12:53:36.499635+00","2026-02-28 12:54:36.499171+00","ram","57.07421875","0.5502435564994812","57.81640625",60,"v0.0.0_placeholder"
288,"2026-02-28 12:53:36.521546+00","2026-02-28 12:54:36.521076+00","rps","707.1400000000001","0.25527438521385193","793.6",60,"v0.0.0_placeholder"
289,"2026-02-28 12:53:51.471427+00","2026-02-28 12:54:51.470954+00","cpu","0.09536749936345375","0.06854143738746643","0.09074838485240035",60,"v0.0.0_placeholder"
290,"2026-02-28 12:53:51.49198+00","2026-02-28 12:54:51.49162+00","ram","57.40234375","0.5503693222999573","58.54296875",60,"v0.0.0_placeholder"
291,"2026-02-28 12:53:51.510551+00","2026-02-28 12:54:51.51019+00","rps","797.24","0.255532830953598","794.48",60,"v0.0.0_placeholder"
292,"2026-02-28 12:54:06.500507+00","2026-02-28 12:55:06.50002+00","cpu","0.08861867539577277","0.06848829984664917","0.09441360153256706",60,"v0.0.0_placeholder"
293,"2026-02-28 12:54:06.525819+00","2026-02-28 12:55:06.525445+00","ram","58.40625","0.5503584146499634","57.40625",60,"v0.0.0_placeholder"
294,"2026-02-28 12:54:06.546867+00","2026-02-28 12:55:06.546374+00","rps","795.6","0.2555491030216217","797.5400000000001",60,"v0.0.0_placeholder"
295,"2026-02-28 12:54:21.475838+00","2026-02-28 12:55:21.475364+00","cpu","0.08718321469695384","0.06850787997245789","0.06808068790563036",60,"v0.0.0_placeholder"
296,"2026-02-28 12:54:21.517584+00","2026-02-28 12:55:21.517132+00","ram","57.76171875","0.5503281950950623","57.40625",60,"v0.0.0_placeholder"
297,"2026-02-28 12:54:21.53887+00","2026-02-28 12:55:21.53849+00","rps","793.06","0.25553399324417114","797.26",60,"v0.0.0_placeholder"
298,"2026-02-28 12:54:36.472344+00","2026-02-28 12:55:36.47198+00","cpu","0.06840974673746027","0.06853547692298889","0.09473576774193548",60,"v0.0.0_placeholder"
299,"2026-02-28 12:54:36.495646+00","2026-02-28 12:55:36.495202+00","ram","57.76171875","0.5502968430519104","57.640625",60,"v0.0.0_placeholder"
300,"2026-02-28 12:54:36.516833+00","2026-02-28 12:55:36.516381+00","rps","790.2600000000001","0.2555147409439087","796.74",60,"v0.0.0_placeholder"
301,"2026-02-28 12:54:51.500714+00","2026-02-28 12:55:51.500177+00","cpu","0.08999536103704667","0.06856074929237366","0.09529321045201498",60,"v0.0.0_placeholder"
302,"2026-02-28 12:54:51.524925+00","2026-02-28 12:55:51.52454+00","ram","57.81640625","0.5502691268920898","57.70703125",60,"v0.0.0_placeholder"
303,"2026-02-28 12:54:51.549966+00","2026-02-28 12:55:51.549591+00","rps","793.6","0.2554975748062134","795.1600000000001",60,"v0.0.0_placeholder"
304,"2026-02-28 12:55:06.489151+00","2026-02-28 12:56:06.48868+00","cpu","0.09074838485240035","0.0685625970363617","0.09329302546474284",60,"v0.0.0_placeholder"
305,"2026-02-28 12:55:06.511336+00","2026-02-28 12:56:06.51084+00","ram","58.54296875","0.5502667427062988","58.34765625",60,"v0.0.0_placeholder"
306,"2026-02-28 12:55:06.533876+00","2026-02-28 12:56:06.533411+00","rps","794.48","0.25549548864364624","791.58",60,"v0.0.0_placeholder"
307,"2026-02-28 12:55:21.514256+00","2026-02-28 12:56:21.513881+00","cpu","0.09441360153256706","0.06856387853622437","0.07012496775546796",60,"v0.0.0_placeholder"
308,"2026-02-28 12:55:21.538264+00","2026-02-28 12:56:21.53782+00","ram","57.40625","0.5502660274505615","58.34765625",60,"v0.0.0_placeholder"
309,"2026-02-28 12:55:21.559464+00","2026-02-28 12:56:21.558977+00","rps","797.5400000000001","0.25549623370170593","791.4399999999999",60,"v0.0.0_placeholder"
310,"2026-02-28 12:55:36.479835+00","2026-02-28 12:56:36.479437+00","cpu","0.06808068790563036","0.06856390833854675","0.09262371742486153",60,"v0.0.0_placeholder"
311,"2026-02-28 12:55:36.50135+00","2026-02-28 12:56:36.500896+00","ram","57.40625","0.5502660274505615","57.00390625",60,"v0.0.0_placeholder"
312,"2026-02-28 12:55:36.521589+00","2026-02-28 12:56:36.521232+00","rps","797.26","0.2554962635040283","796.3",60,"v0.0.0_placeholder"
313,"2026-02-28 12:55:51.504736+00","2026-02-28 12:56:51.504246+00","cpu","0.09473576774193548","0.0685635507106781","0.09592379591593743",60,"v0.0.0_placeholder"
314,"2026-02-28 12:55:51.527166+00","2026-02-28 12:56:51.526647+00","ram","57.640625","0.5502662062644958","58.21875",60,"v0.0.0_placeholder"
315,"2026-02-28 12:55:51.55582+00","2026-02-28 12:56:51.555447+00","rps","796.74","0.2554960548877716","800.84",60,"v0.0.0_placeholder"
316,"2026-02-28 12:56:06.47103+00","2026-02-28 12:57:06.470477+00","cpu","0.09529321045201498","0.06856343150138855","0.09233351053226128",60,"v0.0.0_placeholder"
317,"2026-02-28 12:56:06.499239+00","2026-02-28 12:57:06.498787+00","ram","57.70703125","0.5502662658691406","58.55078125",60,"v0.0.0_placeholder"
318,"2026-02-28 12:56:06.521392+00","2026-02-28 12:57:06.520941+00","rps","795.1600000000001","0.25549596548080444","798.5600000000001",60,"v0.0.0_placeholder"
319,"2026-02-28 12:56:21.481918+00","2026-02-28 12:57:21.481407+00","cpu","0.09329302546474284","0.06856268644332886","0.07489386720832193",60,"v0.0.0_placeholder"
320,"2026-02-28 12:56:21.50289+00","2026-02-28 12:57:21.502532+00","ram","58.34765625","0.550266683101654","58.55078125",60,"v0.0.0_placeholder"
321,"2026-02-28 12:56:21.523756+00","2026-02-28 12:57:21.523269+00","rps","791.58","0.255495548248291","794.8",60,"v0.0.0_placeholder"
322,"2026-02-28 12:56:36.471807+00","2026-02-28 12:57:36.471435+00","cpu","0.07012496775546796","0.06856271624565125","0.0912378996167351",60,"v0.0.0_placeholder"
323,"2026-02-28 12:56:36.49274+00","2026-02-28 12:57:36.492279+00","ram","58.34765625","0.550266683101654","58.796875",60,"v0.0.0_placeholder"
324,"2026-02-28 12:56:36.525092+00","2026-02-28 12:57:36.524522+00","rps","791.4399999999999","0.2554955780506134","908.86",60,"v0.0.0_placeholder"
325,"2026-02-28 12:56:51.47305+00","2026-02-28 12:57:51.472515+00","cpu","0.09262371742486153","0.06856435537338257","0.07499570462554553",60,"v0.0.0_placeholder"
326,"2026-02-28 12:56:51.495413+00","2026-02-28 12:57:51.494962+00","ram","57.00390625","0.5502657890319824","58.796875",60,"v0.0.0_placeholder"
327,"2026-02-28 12:56:51.516095+00","2026-02-28 12:57:51.515614+00","rps","796.3","0.2554965019226074","1235.5",60,"v0.0.0_placeholder"
328,"2026-02-28 12:57:06.477508+00","2026-02-28 12:58:06.477012+00","cpu","0.09592379591593743","0.0685630738735199","0.18501033599254635",60,"v0.0.0_placeholder"
329,"2026-02-28 12:57:06.501444+00","2026-02-28 12:58:06.501069+00","ram","58.21875","0.5502665042877197","67.50390625",60,"v0.0.0_placeholder"
330,"2026-02-28 12:57:06.523983+00","2026-02-28 12:58:06.523606+00","rps","800.84","0.2554957866668701","1894.5800000000004",60,"v0.0.0_placeholder"
331,"2026-02-28 12:57:21.483662+00","2026-02-28 12:58:21.483304+00","cpu","0.09233351053226128","0.06856271624565125","0.24303554115359685",60,"v0.0.0_placeholder"
332,"2026-02-28 12:57:21.50435+00","2026-02-28 12:58:21.503896+00","ram","58.55078125","0.550266683101654","76.5859375",60,"v0.0.0_placeholder"
333,"2026-02-28 12:57:21.526659+00","2026-02-28 12:58:21.5263+00","rps","798.5600000000001","0.255495548248291","2209.42",60,"v0.0.0_placeholder"
334,"2026-02-28 12:57:36.483943+00","2026-02-28 12:58:36.483422+00","cpu","0.07489386720832193","0.06856262683868408","0.23448763597364794",60,"v0.0.0_placeholder"
335,"2026-02-28 12:57:36.514955+00","2026-02-28 12:58:36.51447+00","ram","58.55078125","0.5502667427062988","81.19140625",60,"v0.0.0_placeholder"
336,"2026-02-28 12:57:36.543453+00","2026-02-28 12:58:36.543104+00","rps","794.8","0.25549551844596863","2376.6400000000003",60,"v0.0.0_placeholder"
337,"2026-02-28 12:57:51.507407+00","2026-02-28 12:58:51.507041+00","cpu","0.0912378996167351","0.06856757402420044","0.18352741011409046",60,"v0.0.0_placeholder"
338,"2026-02-28 12:57:51.540654+00","2026-02-28 12:58:51.540231+00","ram","58.796875","0.5502640604972839","91.2109375",60,"v0.0.0_placeholder"
339,"2026-02-28 12:57:51.570128+00","2026-02-28 12:58:51.569641+00","rps","908.86","0.25549837946891785","2336.54",60,"v0.0.0_placeholder"
340,"2026-02-28 12:58:06.487037+00","2026-02-28 12:59:06.486662+00","cpu","0.07499570462554553","0.06874009966850281","0.22545502623811087",60,"v0.0.0_placeholder"
341,"2026-02-28 12:58:06.515633+00","2026-02-28 12:59:06.515097+00","ram","58.796875","0.5501722693443298","90.8984375",60,"v0.0.0_placeholder"
