ts_rounded,cpu,ram,rps
2026-03-06 22:00:00+00:00,0.0005219975639467,28.12109375,0.1
2026-03-06 22:00:15+00:00,0.0004015854197213,28.12109375,0.1
2026-03-06 22:00:30+00:00,0.0005068221405091,28.3671875,0.1
2026-03-06 22:00:45+00:00,0.0003414588914003,28.12109375,0.0999980000399992
2026-03-06 22:01:00+00:00,0.0002819582214727,28.12109375,0.1000020000400008
2026-03-06 22:01:15+00:00,0.0002924616902721,28.12109375,0.1
2026-03-06 22:01:30+00:00,0.0006375319890966,28.12109375,0.1000020000400008
2026-03-06 22:01:45+00:00,0.0005922410022888,28.12109375,0.1
2026-03-06 22:02:00+00:00,0.0004227296181516,28.12109375,0.1
2026-03-06 22:02:15+00:00,0.0003135999999926,28.12109375,0.1
2026-03-06 22:02:30+00:00,0.0003852646890259,28.12109375,0.1
2026-03-06 22:02:45+00:00,0.0003612620558195,28.125,0.1
2026-03-06 22:03:00+00:00,0.0003283529289416,28.125,0.1
2026-03-06 22:03:15+00:00,0.0003773379819533,28.125,0.1
2026-03-06 22:03:30+00:00,0.0004577346717909,28.125,0.1
2026-03-06 22:03:45+00:00,0.0004442641442213,28.125,0.1000020000400008
2026-03-06 22:04:00+00:00,0.0005246001214798,28.125,0.1
2026-03-06 22:04:15+00:00,0.0003694904587442,28.125,0.1
2026-03-06 22:04:30+00:00,0.0003242578283782,28.125,0.1
2026-03-06 22:04:45+00:00,0.0003195914136405,28.125,0.1
2026-03-06 22:05:00+00:00,0.0004565054192299,28.62109375,0.1
2026-03-06 22:05:15+00:00,0.0004849493837404,28.125,0.0999980000399992
2026-03-06 22:05:30+00:00,0.0005928020822904,28.125,0.1
2026-03-06 22:05:45+00:00,0.0005305998711543,28.0,0.1
2026-03-06 22:06:00+00:00,0.0005181942979915,28.0,0.1
2026-03-06 22:06:15+00:00,0.000456604928821,28.0,0.0999980000399992
2026-03-06 22:06:30+00:00,0.000423029506038,28.0,0.1000020000400008
2026-03-06 22:06:45+00:00,0.0003793496155645,28.0,0.1
2026-03-06 22:07:00+00:00,0.0004406994813003,28.25,0.1
2026-03-06 22:07:15+00:00,0.0003260541220889,28.0,0.1
